Id,Name,Avatar,Address,Tel,Business,Service,Photo,Created at,Updated at,Intro,Province,City,Area,Service replace,Photo replace
7289,尚酷健身俱乐部,http://i3.s2.dpfile.com/pc/972a2e90fec2cda22e77e1b2470dbe25(249x249)/thumb.jpg,马场道195号(近第四十一中学),022-23262212,9:00-21:30,"[""健身""]","[""http://i2.s2.dpfile.com/pc/1154a4652b66c4bc3e147780996bbe2b(1000c1000)/thumb.jpg""]",2015-11-23 11:10:19 +0800,2015-11-23 11:10:19 +0800,,天津市,天津市,河西区,[],[]
7288,宝力豪健身中心(民园店),http://i3.s2.dpfile.com/pc/5b73d8a5c6455c484ebe15e3ad06f49b(249x249)/thumb.jpg,长沙路101号(重庆道口),15710212008,周一到周六：7:00-22:00；周日10:00到22:00,[],,2015-11-23 11:10:04 +0800,2015-11-23 11:10:04 +0800,,天津市,天津市,和平区,[],[]
7287,丽思卡尔顿健身中心,http://i3.s2.dpfile.com/pc/986649aaa305bfa8871a8b79012014bc(249x249)/thumb.jpg,大沽北路167号(近老市委花园),022-58578888,6：00-22：00,[],,2015-11-23 11:09:45 +0800,2015-11-23 11:09:45 +0800,,天津市,天津市,和平区,[],[]
7286,领潮健身会所,http://i2.s2.dpfile.com/pc/e58fd501070f3af5cd2bca521b8d2e31(249x249)/thumb.jpg,鞍山西道265号时代数码广场5楼(南丰路口),"022-58698232,022-58698233",9:00~22:00,"[""健身""]","[""http://i2.s2.dpfile.com/pc/d194d356fd85e6c8e23a26ff28a2f643(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/4fb49a7dbd72e8750a7be357e4f76756(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/c84888d36280271932b6a90807464496(1000c1000)/thumb.jpg""]",2015-11-23 11:09:31 +0800,2015-11-23 11:09:31 +0800,,天津市,天津市,南开区,[],[]
7285,康力赛健身中心,http://i3.s2.dpfile.com/pc/2a18c40389fae412b1d9ba85ed58380e(249x249)/thumb.jpg,六纬路与八经路交口万隆中心大厦B座3-4楼,022-24237918,09:30-21:30,[],"[""http://i1.s2.dpfile.com/pc/ec4a20dd80134986bc53e6803edafe9e(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/3f60fd0736453572d78415f2f4e4c2a7(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/24cc215655ad90c9b026d1771753483e(1000c1000)/thumb.jpg""]",2015-11-23 11:09:19 +0800,2015-11-23 11:09:19 +0800,,天津市,天津市,河东区,[],[]
7284,华钜奥体国际健身会所,http://i2.s2.dpfile.com/pc/41c3980f1cca20d14fbadfab97843d19(249x249)/thumb.jpg,天津市和平区西康路72号云翔大厦4楼(市儿童医院),022-58602729,10:00-21:30,[],,2015-11-23 11:08:02 +0800,2015-11-23 11:08:02 +0800,,天津市,天津市,和平区,[],[]
7283,活力健身会所,http://i1.s2.dpfile.com/pc/7ac9a9d5dcb3740aa934cfba80c436ca(249x249)/thumb.jpg,黄河道58双号(原永基商城2楼)(玖拾柒体验式餐厅),022-83818383,9：00-22：00,[],"[""http://i1.s2.dpfile.com/pc/7ac9a9d5dcb3740aa934cfba80c436ca(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/05c65e8b3cc97c23149574229f85f59f(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/1b0bdbf69a47f2233c115e2918c6ab26(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/8df883a15e4ee7f38b2ecde19c207a10(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/914dc8cdf5a82b02b7e49cac97b43e1a(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/fa86293dd95d6b9f9a21e9eb703b60d8(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/3108612b491268d79a7fbec67067f04d(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/6b01cf8c1160cfaff2cc3304f97e87c0(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/b73c3905efa11010e82dc112e77fd7d5(1000c1000)/thumb.jpg""]",2015-11-23 11:07:49 +0800,2015-11-23 11:07:49 +0800,,天津市,天津市,南开区,[],[]
7282,浩泰健身俱乐部(南京路二店),http://i3.s2.dpfile.com/pc/1b03cdb14d0449837a900c6297f13893(249x249)/thumb.jpg,南京路209号吉利大厦7楼(近滨江道),022-27239061,9:00-22:00,"[""健身""]","[""http://i1.s2.dpfile.com/pc/b9827a56e36af3fa3a01b0211945981a(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/a6dcd7f765df93d9110579e0fb141946(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/72c2fe36a5e0ae0f10ae26b16c6ec782(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/db0ae9a96259797a1f0c7530acb30605(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/2d0c7c9bd415766dc292e60f57333d3c(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/9e42507cadeaff6542451985b0f0c6bf(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/91caea56263eff766195eaf6d84f8df4(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/1778642608220dbe651d2a29ad0dcf50(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/ca9fde3bbcb78f4ba25cd25e19ef803b(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/2c95c2e45a137c7411e163807a63c876(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/31560b6d3f585dc57187c2b1b5b41769(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/1c13a9919dbe04603a4c921baeb9a1ff(1000c1000)/thumb.jpg""]",2015-11-23 11:07:37 +0800,2015-11-23 11:07:37 +0800,,天津市,天津市,和平区,[],[]
7281,奥体健身,http://i3.s2.dpfile.com/pc/398b04adc50051aac743690a8983da5a(249x249)/thumb.jpg,近郊北辰道北辰大厦斜对面华润万家2楼,022-86935588,09:00-22:00,[],,2015-11-23 11:07:25 +0800,2015-11-23 11:07:25 +0800,,天津市,天津市,北辰区,[],[]
7280,四季健身荟,http://i3.s2.dpfile.com/pc/e4653eb0d460d9df375d66a799414a91(249x249)/thumb.jpg,万达广场C座6楼,022-60873553,9：00-21:30,[],"[""http://i3.s2.dpfile.com/pc/e4653eb0d460d9df375d66a799414a91(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/91d6e8f5869d580f881b995c542e0a4d(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/1a208159dcb1a7c8b3e3250ab5d79ad8(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/b242436a38dd58521c06f5f259ee7881(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/2940329db6f0390e5bac88e00985fedd(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/5141152902072f33cb0df896bbc93cb7(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/35be542d0755a30c96f3d46b44d191f8(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/860d2cf7bde12843aa3a411785a91b35(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/a2652903f113f8f8b1e8555c88f7f745(1000c1000)/thumb.jpg"", ""http://i3.s2.dpfile.com/pc/1dd0ae3fe133871c8040a529e0ed95a2(1000c1000)/thumb.jpg"", ""http://i1.s2.dpfile.com/pc/bee113d9bf6d0bfed2432d9b02817204(1000c1000)/thumb.jpg"", ""http://i2.s2.dpfile.com/pc/8cbc704538460991e11a23d8394cb0ab(1000c1000)/thumb.jpg""]",2015-11-23 11:07:08 +0800,2015-11-23 11:07:08 +0800,,天津市,天津市,河东区,[],[]
